valuechangetime,1321iWD,1321iYL,1323iWD,1322iYL,1322iWD,A01iJBSL,6002-2ILQS
2023/4/16 10:28,41.46,0.25,43.78,0.25,40.01,48.47,5181.44
2023/4/16 10:29,41.45,0.25,43.79,0.25,40.03,48.22,5071.57
2023/4/16 10:30,41.48,0.25,43.82,0.25,40.03,49.53,5240.95
2023/4/16 10:31,41.53,0.25,43.84,0.25,40.06,48.97,5455.81
2023/4/16 10:32,41.55,0.25,43.89,0.25,40.08,48.94,5211.48
2023/4/16 10:33,41.61,0.25,43.93,0.25,40.12,49.11,5193.17
2023/4/16 10:34,41.66,0.25,43.98,0.25,40.15,49.76,5267.84
2023/4/16 10:35,41.74,0.25,44,0.25,40.16,48.09,5212.05
2023/4/16 10:36,41.78,0.25,44.07,0.25,40.21,49.21,5507.6
2023/4/16 10:37,41.84,0.25,44.14,0.25,40.27,49.67,5256.11
2023/4/16 10:38,41.92,0.25,44.23,0.25,40.3,48,5471.26
2023/4/16 10:39,41.97,0.25,44.26,0.25,40.34,49.48,5234.65
2023/4/16 10:40,42.05,0.25,44.36,0.25,40.38,49.55,5263.55
2023/4/16 10:41,42.14,0.25,44.43,0.25,40.45,49.98,5200.89
2023/4/16 10:42,42.22,0.25,44.53,0.25,40.53,48.25,5295.31
2023/4/16 10:43,42.3,0.25,44.58,0.25,40.59,48.69,5283.86
2023/4/16 10:44,42.37,0.24,44.69,0.24,40.65,48.59,5473.55
2023/4/16 10:45,42.48,0.24,44.78,0.24,40.69,48.11,5221.49
2023/4/16 10:46,42.51,0.24,44.83,0.24,40.74,47.36,5143.1
2023/4/16 10:47,42.55,0.24,44.9,0.24,40.79,47.89,5266.12
2023/4/16 10:48,42.58,0.24,44.95,0.24,40.85,48.29,5494.44
2023/4/16 10:49,42.62,0.24,44.96,0.24,40.88,47.94,5277.28
2023/4/16 10:50,42.63,0.24,45.02,0.24,40.92,48.25,5309.33
2023/4/16 10:51,42.61,0.23,45.02,0.23,40.94,49.07,5307.32
2023/4/16 10:52,42.61,0.23,45.03,0.23,40.98,48.52,5206.9
2023/4/16 10:53,42.65,0.23,45.03,0.23,40.98,48.93,5359.4
2023/4/16 10:54,42.64,0.23,45.05,0.23,41.01,48.35,5127.36
2023/4/16 10:55,42.61,0.23,45.02,0.23,41.04,49.65,5182.01
2023/4/16 10:56,42.6,0.23,45.02,0.23,41.06,48.18,5339.94
2023/4/16 10:57,42.61,0.23,45.04,0.23,41.06,49.07,5354.53
2023/4/16 10:58,42.61,0.23,45.03,0.23,41.08,48.43,5162.27
2023/4/16 10:59,42.6,0.22,45.03,0.22,41.1,49.16,5200.32
2023/4/16 11:00,42.62,0.22,45.06,0.22,41.11,49.67,5312.19
2023/4/16 11:01,42.61,0.22,45.06,0.22,41.11,49.55,5131.65
2023/4/16 11:02,42.65,0.22,45.08,0.22,41.13,49.11,5196.03
2023/4/16 11:03,42.68,0.22,45.1,0.22,41.17,49.03,5271.56
2023/4/16 11:04,42.69,0.22,45.12,0.22,41.19,51.33,5119.64
2023/4/16 11:05,42.69,0.22,45.15,0.22,41.2,48.15,5246.1
2023/4/16 11:06,42.75,0.22,45.18,0.22,41.23,49.99,5308.76
2023/4/16 11:07,42.8,0.22,45.24,0.22,41.26,48.59,5281.86
2023/4/16 11:08,42.84,0.23,45.28,0.23,41.28,50.01,5106.19
2023/4/16 11:09,42.89,0.23,45.32,0.23,41.33,49.62,5307.9
2023/4/16 11:10,42.94,0.23,45.36,0.23,41.36,50.09,5193.17
2023/4/16 11:11,43,0.22,45.41,0.22,41.38,50.09,5183.15
2023/4/16 11:12,43.04,0.21,45.45,0.21,41.45,49.02,5208.9
2023/4/16 11:13,43.1,0.21,45.53,0.21,41.47,50.43,5246.1
2023/4/16 11:14,43.17,0.21,45.6,0.21,41.53,49.99,5278.43
2023/4/16 11:15,43.23,0.21,45.64,0.21,41.57,48.96,5371.7
2023/4/16 11:16,43.29,0.21,45.7,0.21,41.61,50.61,5260.69
2023/4/16 11:17,43.35,0.2,45.79,0.2,41.68,49.01,5391.44
2023/4/16 11:18,43.43,0.2,45.86,0.2,41.71,48.17,5407.18
2023/4/16 11:19,43.46,0.2,45.91,0.2,41.76,49.8,5254.68
2023/4/16 11:20,43.5,0.2,45.95,0.2,41.81,49.18,5517.9
2023/4/16 11:21,43.51,0.21,46,0.2,41.82,49.15,5331.36
2023/4/16 11:22,43.54,0.21,46.05,0.21,41.87,49.02,5614.6
2023/4/16 11:23,43.56,0.21,46.05,0.21,41.89,49.66,5533.92
2023/4/16 11:24,43.53,0.21,46.05,0.21,41.91,50.29,5522.76
2023/4/16 11:25,43.55,0.21,46.05,0.21,41.93,48.95,5520.47
2023/4/16 11:26,43.57,0.21,46.09,0.21,42.02,50.11,5556.81
2023/4/16 11:27,43.58,0.21,46.11,0.21,42.04,50.19,5534.21
2023/4/16 11:28,43.6,0.23,46.11,0.22,42.09,49.83,5515.9
2023/4/16 11:29,43.62,0.23,46.12,0.23,42.13,47.78,5324.78
2023/4/16 11:30,43.63,0.23,46.16,0.23,42.18,48.83,5410.32
2023/4/16 11:31,43.65,0.23,46.17,0.23,42.21,48.77,5412.9
2023/4/16 11:32,43.68,0.23,46.18,0.23,42.28,49,5421.77
2023/4/16 11:33,43.7,0.25,46.22,0.23,42.35,48.81,5417.48
2023/4/16 11:34,43.73,0.25,46.24,0.25,42.39,48.61,5444.37
2023/4/16 11:35,43.77,0.25,46.25,0.25,42.41,49.47,5474.7
2023/4/16 11:36,44.05,0.25,46.54,0.25,42.73,47.99,5387.15
2023/4/16 11:37,44.35,0.25,46.82,0.25,43.05,49.56,5454.1
2023/4/16 11:38,44.65,0.27,47.13,0.25,43.33,50.09,5453.52
2023/4/16 11:39,44.96,0.27,47.44,0.27,43.66,49.41,5454.1
2023/4/16 11:40,45.26,0.27,47.72,0.27,43.97,48.42,5505.6
2023/4/16 11:41,45.56,0.27,48.01,0.27,44.25,49.63,5457.53
2023/4/16 11:42,45.89,0.27,48.35,0.27,44.6,49.76,5572.55
2023/4/16 11:43,46.22,0.28,48.67,0.27,44.94,50.6,5419.19
2023/4/16 11:44,46.58,0.28,49.02,0.28,45.27,48.73,5407.18
2023/4/16 11:45,46.93,0.28,49.37,0.28,45.63,50.69,5050.97
2023/4/16 11:46,47.28,0.28,49.68,0.28,45.94,50.7,5294.16
2023/4/16 11:47,47.63,0.28,50.03,0.28,46.28,49.16,5303.6
2023/4/16 11:48,47.98,0.28,50.39,0.28,46.64,47.71,5397.73
2023/4/16 11:49,48.38,0.28,50.78,0.28,47.01,49.5,5249.24
2023/4/16 11:50,48.78,0.29,51.16,0.29,47.4,49.5,5440.36
2023/4/16 11:51,49.17,0.29,51.56,0.29,47.79,50.04,5305.61
2023/4/16 11:52,49.57,0.29,51.94,0.29,48.16,49.12,5335.36
2023/4/16 11:53,49.86,0.29,52.21,0.29,48.47,50.56,5291.59
